cohort,candidate_revision,label,kind,arm,run_id,pair,api_status,execution_valid,api_to_spawn_ms,api_to_agent_ready_ms,handoff_ms,primary_metric_available,formal_primary_eligible,expected_counter,verified_counter_after_completion,verified_path,exclusion_reason
replication,v1,replication-p03-2-baseline,sample,baseline,1f28e104-d09c-4c6d-a5b6-d2eefecae79e,3,completed,True,1407,1617,,True,True,27,28,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p04-1-baseline,sample,baseline,08dc84b3-fbc8-490b-b89b-8e3b85e9848e,4,completed,True,552,665,,True,True,28,29,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p04-2-candidate,sample,candidate,1fd04a1f-7c6b-4ca3-b2b2-f3e620a94b92,4,completed,True,656,668,37,True,True,29,30,workspace_cache_plus_ready_blank,
replication,v1,replication-p05-1-candidate,sample,candidate,dd066ea7-1ed4-441e-be32-e3e61b46e3fa,5,completed,True,675,786,34,True,True,30,31,workspace_cache_plus_ready_blank,
replication,v1,replication-p05-2-baseline,sample,baseline,677e3c2f-03d4-42ab-b29d-63ad0fd39227,5,completed,True,617,829,,True,True,31,32,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p06-1-baseline,sample,baseline,7d794a52-4015-4d35-88cc-7abd1dd9e3db,6,completed,True,584,796,,True,True,32,33,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p06-2-candidate,sample,candidate,466c4e8a-dc4b-4d66-8110-a18c2fa41096,6,completed,True,714,729,40,True,True,33,34,workspace_cache_plus_ready_blank,
replication,v1,replication-p07-1-candidate,sample,candidate,3ed0a39a-5f2e-4a0c-9daa-01f5d89d566e,7,completed,True,753,863,34,True,True,34,35,workspace_cache_plus_ready_blank,
replication,v1,replication-p07-2-baseline,sample,baseline,d15a1e8e-3a6a-48c1-9e27-228f7e67c88a,7,completed,True,1070,1281,,True,True,35,36,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p08-1-baseline,sample,baseline,491f7a8c-be75-4337-a4b3-f7e8636c605b,8,completed,True,663,874,,True,True,36,37,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p08-2-candidate,sample,candidate,23c114f6-ea4f-419c-84b1-c37f031b67e2,8,completed,True,769,782,41,True,True,37,38,workspace_cache_plus_ready_blank,
replication,v1,replication-p09-1-candidate,sample,candidate,0f92ae53-624e-4a62-8099-f7dd279a6a66,9,completed,True,847,958,38,True,True,38,39,workspace_cache_plus_ready_blank,
replication,v1,replication-p09-2-baseline,sample,baseline,56f2f2c2-e7d6-4ac5-b6d8-d4ed74c07116,9,completed,True,632,843,,True,True,39,40,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p10-1-baseline,sample,baseline,1f9d79b4-3fce-4220-bdc3-60c46d933a3e,10,completed,True,646,856,,True,True,40,41,workspace_cache_plus_fresh_sandbox,
replication,v1,replication-p10-2-candidate,sample,candidate,fd7b0e07-164a-4310-b316-db7484bec1cb,10,completed,True,704,820,37,True,True,41,42,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p01-1-baseline,sample,baseline,a6c306ef-153c-4aae-8f02-5ee4df0e4d50,1,completed,True,638,750,,True,True,42,43,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p01-2-candidate,sample,candidate,964be2c0-f06e-44d8-b8e2-755584fa6f33,1,completed,True,662,772,35,True,True,43,44,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p02-1-candidate,sample,candidate,9006d61c-cd04-4f14-9ae3-93f30edfa9a7,2,completed,True,645,755,32,True,True,44,45,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p02-2-baseline,sample,baseline,26f95cc2-fa15-462e-b8eb-0cabc06a5196,2,completed,True,666,877,,True,True,45,46,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p03-1-baseline,sample,baseline,6f4b8585-0445-4293-a143-f29a3cb7f3bc,3,completed,True,564,775,,True,True,46,47,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p03-2-candidate,sample,candidate,b78f000f-c48b-4c4a-bf35-9e0f97bf6090,3,completed,True,1331,1441,52,True,True,47,48,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p04-1-candidate,sample,candidate,917eacc1-aad8-4490-951f-7517e2ca6ffa,4,completed,True,650,770,35,True,True,48,49,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p04-2-baseline,sample,baseline,6c4ac65d-8378-49c9-b444-6d61df958be8,4,completed,True,632,745,,True,True,49,50,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p05-1-baseline,sample,baseline,c1583a59-51da-499f-b536-3045c7430a21,5,completed,True,640,852,,True,True,50,51,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p05-2-candidate,sample,candidate,e5a589f4-cd57-478f-b168-e42e8dc282a5,5,completed,True,727,837,37,True,True,51,52,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p06-1-candidate,sample,candidate,6b55844f-ee22-4f65-9de0-b7291538e7c8,6,completed,True,716,829,41,True,True,52,53,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p06-2-baseline,sample,baseline,6b794e08-bfba-4262-a600-6e78bea0ea76,6,completed,True,776,984,,True,True,53,54,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p07-1-baseline,sample,baseline,eb38aca4-1ebb-4e33-b882-88130efefdd5,7,completed,True,1025,1236,,True,True,54,55,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p07-2-candidate,sample,candidate,a2f4c01f-6840-459b-9cb3-51ce0e5a49e1,7,completed,True,1191,1302,46,True,True,55,56,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p08-1-candidate,sample,candidate,668d4e9f-f05b-4c03-9928-6be4e1055df3,8,completed,True,619,729,40,True,True,56,57,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p08-2-baseline,sample,baseline,9158dda5-b7a2-4f7d-86b2-32e105752492,8,completed,True,783,995,,True,True,57,58,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p09-1-baseline,sample,baseline,888a330f-18fb-4e12-825a-11af2b6b9d9a,9,completed,True,658,869,,True,True,58,59,workspace_cache_plus_fresh_sandbox,
corrected,v2,corrected-p09-2-candidate,sample,candidate,eaf03463-ff50-41d4-b9ff-2e47fbc8c385,9,completed,True,553,662,33,True,True,59,60,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p10-1-candidate,sample,candidate,198fbdcd-48ff-46a8-8872-b99f10cbb881,10,completed,True,639,749,32,True,True,60,61,workspace_cache_plus_ready_blank,
corrected,v2,corrected-p10-2-baseline,sample,baseline,8cf81568-aa1c-4c83-8015-47a4060ddcea,10,completed,True,680,893,,True,True,61,62,workspace_cache_plus_fresh_sandbox,
